,NAME_LATN,fecha,min,max,mean
0,"München, Kreisfreie Stadt",1951-01-01,-7.266845703125,-6.98492431640625,-7.164021809895833
1,"Stuttgart, Stadtkreis",1951-01-01,0.251861572265625,0.29217529296875,0.2720184326171875
2,"Nürnberg, Kreisfreie Stadt",1951-01-01,-2.707275390625,-2.5302734375,-2.6187744140625
3,"Bremen, Kreisfreie Stadt",1951-01-01,-1.668212890625,-1.54901123046875,-1.606695556640625
4,Hamburg,1951-01-01,-4.64471435546875,-3.757415771484375,-4.207849675958807
5,"Frankfurt am Main, Kreisfreie Stadt",1951-01-01,-0.614471435546875,-0.20574951171875,-0.4404195149739583
6,Berlin,1951-01-01,-8.648651123046875,-6.741302490234375,-7.9224700927734375
7,"Dortmund, Kreisfreie Stadt",1951-01-01,0.5592041015625,0.808013916015625,0.6864776611328125
8,Region Hannover,1951-01-01,-2.486572265625,-1.38690185546875,-1.7180613199869792
9,"Düsseldorf, Kreisfreie Stadt",1951-01-01,0.928131103515625,1.373443603515625,1.2139511108398438
10,"Duisburg, Kreisfreie Stadt",1951-01-01,1.149688720703125,1.234405517578125,1.192047119140625
11,"Essen, Kreisfreie Stadt",1951-01-01,0.70843505859375,0.944000244140625,0.8336334228515625
12,"Köln, Kreisfreie Stadt",1951-01-01,1.2625732421875,1.516754150390625,1.420257568359375
13,"Dresden, Kreisfreie Stadt",1951-01-01,-8.596405029296875,-8.129730224609375,-8.37408447265625
14,"Leipzig, Kreisfreie Stadt",1951-01-01,-5.441864013671875,-5.348236083984375,-5.395050048828125
0,"München, Kreisfreie Stadt",1951-01-02,-6.389404296875,-6.1356201171875,-6.292317708333333
1,"Stuttgart, Stadtkreis",1951-01-02,-0.49444580078125,-0.4500732421875,-0.472259521484375
2,"Nürnberg, Kreisfreie Stadt",1951-01-02,-2.8890380859375,-2.82171630859375,-2.855377197265625
3,"Bremen, Kreisfreie Stadt",1951-01-02,0.730133056640625,0.80914306640625,0.771905517578125
4,Hamburg,1951-01-02,-0.394134521484375,-0.09600830078125,-0.23665826970880682
5,"Frankfurt am Main, Kreisfreie Stadt",1951-01-02,0.6181640625,0.86541748046875,0.7426045735677084
6,Berlin,1951-01-02,-1.978515625,-1.7213134765625,-1.868963623046875
7,"Dortmund, Kreisfreie Stadt",1951-01-02,1.5621337890625,1.7220458984375,1.64459228515625
8,Region Hannover,1951-01-02,0.19696044921875,0.79925537109375,0.5369781494140625
9,"Düsseldorf, Kreisfreie Stadt",1951-01-02,1.4697265625,1.659759521484375,1.5869674682617188
10,"Duisburg, Kreisfreie Stadt",1951-01-02,1.476593017578125,1.56353759765625,1.5200653076171875
11,"Essen, Kreisfreie Stadt",1951-01-02,1.42230224609375,1.556732177734375,1.4969635009765625
12,"Köln, Kreisfreie Stadt",1951-01-02,1.61334228515625,1.729248046875,1.6755719866071428
13,"Dresden, Kreisfreie Stadt",1951-01-02,-4.52154541015625,-4.357666015625,-4.424336751302083
14,"Leipzig, Kreisfreie Stadt",1951-01-02,-1.917266845703125,-1.82037353515625,-1.8688201904296875
0,"München, Kreisfreie Stadt",1951-01-03,-1.380462646484375,-1.27880859375,-1.3443400065104167
1,"Stuttgart, Stadtkreis",1951-01-03,-2.956207275390625,-2.94183349609375,-2.9490203857421875
2,"Nürnberg, Kreisfreie Stadt",1951-01-03,-2.770111083984375,-2.683074951171875,-2.726593017578125
3,"Bremen, Kreisfreie Stadt",1951-01-03,-0.1109619140625,0.099273681640625,-0.00523681640625
4,Hamburg,1951-01-03,-1.255462646484375,-0.671142578125,-0.9153248180042614
5,"Frankfurt am Main, Kreisfreie Stadt",1951-01-03,0.31890869140625,0.54815673828125,0.432037353515625
6,Berlin,1951-01-03,-3.697052001953125,-2.95159912109375,-3.3612274169921874
7,"Dortmund, Kreisfreie Stadt",1951-01-03,0.4482421875,0.559967041015625,0.5074310302734375
8,Region Hannover,1951-01-03,-0.345550537109375,0.0966796875,-0.018033854166666665
9,"Düsseldorf, Kreisfreie Stadt",1951-01-03,0.294097900390625,0.50677490234375,0.3891754150390625
10,"Duisburg, Kreisfreie Stadt",1951-01-03,-0.201904296875,0.176727294921875,-0.0125885009765625
11,"Essen, Kreisfreie Stadt",1951-01-03,0.22784423828125,0.306365966796875,0.2518310546875
12,"Köln, Kreisfreie Stadt",1951-01-03,0.5992431640625,0.818572998046875,0.7205548967633929
13,"Dresden, Kreisfreie Stadt",1951-01-03,-2.89190673828125,-2.423828125,-2.73260498046875
14,"Leipzig, Kreisfreie Stadt",1951-01-03,-2.397430419921875,-2.372314453125,-2.3848724365234375
0,"München, Kreisfreie Stadt",1951-01-04,-3.63897705078125,-3.32183837890625,-3.4837239583333335
1,"Stuttgart, Stadtkreis",1951-01-04,-1.82342529296875,-1.712005615234375,-1.7677154541015625
2,"Nürnberg, Kreisfreie Stadt",1951-01-04,-1.3572998046875,-1.25494384765625,-1.306121826171875
3,"Bremen, Kreisfreie Stadt",1951-01-04,0.5001220703125,0.6512451171875,0.583123779296875
4,Hamburg,1951-01-04,0.33648681640625,0.550048828125,0.4373418634588068
5,"Frankfurt am Main, Kreisfreie Stadt",1951-01-04,0.441986083984375,0.632598876953125,0.537322998046875
6,Berlin,1951-01-04,0.104217529296875,0.30828857421875,0.173046875
7,"Dortmund, Kreisfreie Stadt",1951-01-04,0.95318603515625,1.24420166015625,1.1021270751953125
8,Region Hannover,1951-01-04,0.90875244140625,1.239044189453125,1.1409383138020834
9,"Düsseldorf, Kreisfreie Stadt",1951-01-04,0.995574951171875,1.37841796875,1.2245712280273438
10,"Duisburg, Kreisfreie Stadt",1951-01-04,1.322296142578125,1.33294677734375,1.3276214599609375
11,"Essen, Kreisfreie Stadt",1951-01-04,0.8922119140625,1.170318603515625,1.0382919311523438
12,"Köln, Kreisfreie Stadt",1951-01-04,1.05340576171875,1.3597412109375,1.1992274693080358
13,"Dresden, Kreisfreie Stadt",1951-01-04,-0.898406982421875,-0.62176513671875,-0.788848876953125
14,"Leipzig, Kreisfreie Stadt",1951-01-04,0.552001953125,0.5848388671875,0.56842041015625
0,"München, Kreisfreie Stadt",1951-01-05,-1.149017333984375,-0.577728271484375,-0.9161173502604166
1,"Stuttgart, Stadtkreis",1951-01-05,3.6669921875,3.67059326171875,3.668792724609375
2,"Nürnberg, Kreisfreie Stadt",1951-01-05,1.975616455078125,2.1221923828125,2.0489044189453125
3,"Bremen, Kreisfreie Stadt",1951-01-05,4.19610595703125,4.2452392578125,4.21663818359375
4,Hamburg,1951-01-05,3.43572998046875,3.66510009765625,3.5639149058948862
5,"Frankfurt am Main, Kreisfreie Stadt",1951-01-05,2.781890869140625,2.9876708984375,2.8506062825520835
